表 4 按罪行類別及性別劃分被收納入懲教院所服刑的人次,,,,,,,,,,,,,,,,,,,
Table 4 Admissions of sentenced persons to correctional institutions by type of offence and sex,,,,,,,,,,,,,,,,,,,
罪行類別,Type of offence,性別,Sex,2001,2006,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions,收納人次 Number of admissions
侵犯人身的暴力罪行,Violent crime against person,女,F,33,75,81,58,62,39,62,41,49,55,44,42,51,61,74,83
侵犯人身的暴力罪行,Violent crime against person,男,M,612,875,776,714,692,640,627,632,585,546,490,394,557,431,354,498
侵犯財物的暴力罪行,Violent crime against property,女,F,13,18,15,6,9,10,1,5,4,10,9,8,5,14,14,13
侵犯財物的暴力罪行,Violent crime against property,男,M,393,407,203,193,187,131,105,133,110,80,93,105,134,107,159,82
爆竊、盜竊及接贓,"Burglary, theft and handling stolen goods",女,F,407,812,884,817,812,660,653,703,675,578,512,440,453,378,546,580
爆竊、盜竊及接贓,"Burglary, theft and handling stolen goods",男,M,2319,3216,2535,2376,2278,2030,2153,2084,1964,1703,1463,1501,1527,1089,1481,1645
詐騙及偽造文件,Fraud and forgery,女,F,108,183,88,78,81,53,51,56,42,47,70,46,36,34,68,68
詐騙及偽造文件,Fraud and forgery,男,M,313,374,241,194,210,151,157,143,121,115,128,86,97,131,156,173
淫褻（色情罪行）,Indecency (sexual offences),女,F,605,908,240,297,399,333,196,192,107,102,111,21,40,40,187,152
淫褻（色情罪行）,Indecency (sexual offences),男,M,1055,816,518,543,561,343,235,221,197,177,131,76,125,173,334,226
毒品罪行,Drug offences,女,F,302,261,373,387,424,412,352,408,356,262,195,118,153,140,206,169
毒品罪行,Drug offences,男,M,2687,1895,2007,2004,2025,1874,1667,1799,1741,1429,1246,721,1140,1058,1239,1134
違背合法權力罪行,Offences against lawful authority,女,F,310,457,102,85,109,99,79,92,82,92,60,34,38,31,89,43
違背合法權力罪行,Offences against lawful authority,男,M,336,397,188,177,177,163,148,152,131,125,81,68,96,81,84,91
入境罪行,Immigration offences,女,F,5962,4899,1898,1849,1513,1191,1460,1555,1490,1622,1270,843,990,823,1303,1528
入境罪行,Immigration offences,男,M,2887,3542,1479,1536,1404,1022,985,1147,1383,1467,1123,605,723,609,781,897
防範性罪行,Preventive crime,女,F,3,11,8,9,8,10,9,9,7,1,3,12,18,14,15,15
防範性罪行,Preventive crime,男,M,209,310,217,179,150,166,165,195,176,129,119,193,252,139,162,172
刑事毀壞,Criminal damage,女,F,1,9,7,8,11,8,5,3,11,7,7,10,12,10,11,9
刑事毀壞,Criminal damage,男,M,54,69,75,70,110,98,83,94,104,105,89,107,203,147,139,169
非法會社罪行,Unlawful society offences,女,F,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
非法會社罪行,Unlawful society offences,男,M,64,128,96,67,91,44,62,70,50,47,29,27,41,23,67,58
串謀,Conspiracy,女,F,46,53,130,128,109,55,68,72,78,43,63,39,34,51,57,60
串謀,Conspiracy,男,M,94,166,226,188,155,124,129,89,110,70,79,60,71,50,115,161
雜項罪行,Miscellaneous crimes,女,F,164,461,281,224,283,354,548,531,389,340,355,202,278,297,381,484
雜項罪行,Miscellaneous crimes,男,M,1881,1886,1460,1267,1249,1291,1482,1554,1280,1260,1063,836,1359,1278,1498,1591
總計,Total,女,F,7955,8147,4108,3946,3821,3224,3484,3667,3291,3159,2699,1815,2109,1893,2951,3204
總計,Total,男,M,12904,14081,10021,9508,9289,8077,7998,8313,7952,7253,6134,4779,6325,5316,6569,6897
總計,Total,總計,Total,20859,22228,14129,13454,13110,11301,11482,11980,11243,10412,8833,6594,8434,7209,9520,10101
註釋：,自2022年起，懲教署修訂了罪行分類以助檢討及制定懲教政策。上列統計數字是按照修訂後的罪行分類方法編製，數列已作出後向估計至2001年。,,,,,,,,,,,,,,,,,,
Note:,The Correctional Services Department has revised the offence classification to help review and formulate the correctional policies as from 2022.  The above statistics are compiled based on the revised classification scheme and the series has been backcasted to 2001.,,,,,,,,,,,,,,,,,,
資料來源：,懲教署統計組（查詢電話： 3971 0432； 查詢電郵： email@csd.gov.hk）,,,,,,,,,,,,,,,,,,
Source: ,"Statistics Section, Correctional Services Department",,,,,,,,,,,,,,,,,,
,(Enquiry telephone no.: 3971 0432; Enquiry e-mail: email@csd.gov.hk),,,,,,,,,,,,,,,,,,
