表 5 按年齡組別、選定的監管令類別及性別劃分的受社會福利署監管的違法人士[1]數目,,,,,,,,,,,,,,,,,,,,,
"Table 5 Offenders[1] under the custody/supervision of Social Welfare Department by age group, selected type of order and sex",,,,,,,,,,,,,,,,,,,,,
年齡組別 Age group,選定的監管令類別 Selected type of order,性別,Sex,1991,1996,2001,2006,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons
< 16,感化令 Probation order - open supervision,女,F,68,158,97,99,85,44,40,23,23,21,8,1,4,31,7,8,12,9
< 16,感化令 Probation order - open supervision,男,M,797,610,499,375,278,224,153,105,66,61,54,41,36,59,38,63,55,37
< 16,感化令 - 附加入住核准院舍條件 Probation order - with residential requirement,女,F,18,38,38,44,22,10,10,8,10,6,4,4,0,19,2,2,6,3
< 16,感化令 - 附加入住核准院舍條件 Probation order - with residential requirement,男,M,190,138,145,146,79,58,45,39,18,14,13,14,14,17,14,17,8,7
< 16,社會服務令 Community service order,女,F,1,1,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
< 16,社會服務令 Community service order,男,M,8,11,34,22,5,9,3,0,1,0,1,0,0,2,2,1,1,0
< 16,感化院令 School order,女,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
< 16,感化院令 School order,男,M,142,68,55,39,24,30,18,11,7,9,8,12,4,2,13,9,8,8
16 - 20,感化令 Probation order - open supervision,女,F,100,274,225,136,117,97,83,74,61,54,30,26,22,36,23,37,25,26
16 - 20,感化令 Probation order - open supervision,男,M,962,1228,1123,683,587,535,419,304,293,252,200,183,151,154,194,181,181,142
16 - 20,感化令 - 附加入住核准院舍條件[2] Probation order - with residential requirement[2],女,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16 - 20,感化令 - 附加入住核准院舍條件[2] Probation order - with residential requirement[2],男,M,86,74,121,-,3,-,-,-,-,-,-,-,4,-,-,2,-,-
16 - 20,社會服務令 Community service order,女,F,2,30,60,41,31,25,25,26,23,10,10,10,8,7,16,7,5,6
16 - 20,社會服務令 Community service order,男,M,58,311,555,160,109,78,80,72,86,47,49,31,30,45,49,36,34,42
≧ 21,感化令 Probation order - open supervision,女,F,149,248,320,419,351,351,318,313,349,336,340,366,371,258,296,281,225,216
≧ 21,感化令 Probation order - open supervision,男,M,711,914,745,761,776,725,633,594,545,597,699,663,671,494,766,635,439,413
≧ 21,社會服務令 Community service order,女,F,4,63,227,333,382,317,280,333,328,284,255,318,275,225,280,267,278,266
≧ 21,社會服務令 Community service order,男,M,60,413,1122,1114,1311,1072,932,1080,1087,1111,1161,1124,1044,931,1163,1113,1209,1093
總計 Total,總計 Total,女,F,342,812,973,1075,988,845,757,777,794,711,647,725,680,576,624,602,551,526
總計 Total,總計 Total,男,M,3014,3767,4399,3300,3172,2731,2283,2205,2103,2091,2185,2068,1954,1704,2239,2057,1935,1742
總計 Total,總計 Total,總計,Total,3356,4579,5372,4375,4160,3576,3040,2982,2897,2802,2832,2793,2634,2280,2863,2659,2486,2268
註釋：,[1] 數字根據法庭全年新判的監管令數目。,,,,,,,,,,,,,,,,,,,,
,[2] 有關的感化宿舍於2004年1月底停止接收新轉介個案，並於同年6月關閉，而有需要的個案被安排至其他院舍接受服務。,,,,,,,,,,,,,,,,,,,,
, - 不適用,,,,,,,,,,,,,,,,,,,,
Notes: ,[1] Figures refer to total number of new court orders made in the year.,,,,,,,,,,,,,,,,,,,,
,[2] The probation hostel concerned had ceased admitting new cases since end January 2004 and was subsequently closed in June 2004.  Needy cases were arranged to receive service at other residential homes.,,,,,,,,,,,,,,,,,,,,
, - Not applicable,,,,,,,,,,,,,,,,,,,,
資料來源：,社會福利署研究及統計組（查詢電話： 2892 5233； 查詢電郵： rsenq@swd.gov.hk）,,,,,,,,,,,,,,,,,,,,
Source: ,"Research and Statistics Section, Social Welfare Department",,,,,,,,,,,,,,,,,,,,
,(Enquiry telephone no.: 2892 5233; Enquiry e-mail: rsenq@swd.gov.hk),,,,,,,,,,,,,,,,,,,,
